Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Álex Abrines,2016,2019,3,0,SG,OKC,174,5.3,924,1.4,248,0.5,88,0.5,92,0.1,22,38.7,36.8,88.0,52.5,8.8,1.7,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious Achiuwa,2020,2022,2,0,PF,MIA,133,7.2,959,5.1,675,0.8,109,0.4,56,0.5,68,47.1,36.2,55.6,50.4,13.2,1.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,2012,2019,7,0,PF,TOR,337,4.9,1642,3.5,1179,0.6,217,0.4,140,0.4,135,44.4,35.0,75.9,51.3,11.2,1.2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,2018,2021,2,0,PG,ATL,41,2.7,110,1.5,63,1.6,67,0.3,14,0.1,5,33.1,32.9,77.8,43.6,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Adams,2013,2022,9,0,C,OKC,664,9.3,6157,8.0,5303,1.5,982,0.9,588,0.9,629,58.7,7.1,54.7,58.7,17.0,6.2,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bam Adebayo,2017,2022,5,0,C,MIA,343,13.5,4617,8.3,2850,3.5,1189,1.0,340,0.9,309,55.8,14.0,74.1,55.9,20.0,7.1,35.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Deng Adel,2018,2019,1,0,SF,CLE,19,1.7,32,1.0,19,0.3,5,0.1,1,0.2,4,30.6,26.1,100.0,38.9,2.7,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn Akoon-Purcell,2018,2019,1,0,SG,DEN,7,1.0,7,0.6,4,0.9,6,0.3,2,0.0,0,30.0,0.0,50.0,30.0,8.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santi Aldama,2021,2022,1,0,PF,MEM,31,3.6,112,2.5,77,0.5,17,0.1,4,0.3,10,39.7,9.3,61.5,41.4,9.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMarcus Aldridge,2006,2022,16,0,PF,POR,1076,19.1,20558,8.1,8736,1.9,2076,0.7,758,1.1,1187,49.3,32.0,81.3,49.9,20.7,7.2,115.7,0,0,0,0,0,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
