Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Kareem Abdul-Jabbar,1969,1989,20,1,C,LAL,1560,24.6,38387,11.2,17440,3.6,5660,0.9,1160,2.6,3189,55.9,5.6,72.1,55.9,24.6,13.7,273.4,1,1995,19,2,1,0,0,4,6,15,1,1,11,0,0,0,0,6,2,1
Ray Allen,1996,2014,18,1,SG,MIL,1300,18.9,24505,4.1,5272,3.4,4361,1.1,1451,0.2,244,45.2,40.0,89.4,53.0,18.6,8.1,145.1,1,2018,10,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1
Tiny Archibald,1970,1984,13,1,PG,SAC,876,18.8,16481,2.3,2046,7.4,6476,1.1,719,0.1,81,46.7,22.4,81.0,46.8,18.0,6.4,83.4,1,1991,6,1,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,1
Paul Arizin,1950,1962,10,1,SF,GSW,713,22.8,16266,8.6,6129,2.3,1665,0.0,0,0.0,0,42.1,0.0,81.0,0.0,19.8,10.9,108.8,1,1978,10,2,0,0,0,0,1,4,0,1,0,0,0,1,0,0,0,1
Charles Barkley,1984,2000,16,1,PF,PHI,1073,22.1,23757,11.7,12546,3.9,4215,1.5,1648,0.8,888,54.1,26.6,73.5,55.8,24.6,11.1,177.2,1,2006,11,0,1,0,0,0,0,11,1,0,0,0,0,1,0,1,0,1
Rick Barry,1965,1980,14,1,SF,GSW,1020,24.8,25279,6.7,6863,4.9,4952,2.0,1104,0.5,269,45.6,29.7,89.3,46.0,21.0,9.2,128.9,1,1987,12,1,0,0,1,0,1,6,1,1,0,0,0,1,0,0,1,1
Elgin Baylor,1958,1972,14,1,SF,LAL,846,27.4,23149,13.5,11463,4.3,3650,0.0,0,0.0,0,43.1,0.0,78.0,0.0,22.7,7.4,104.2,1,1977,11,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,1
Zelmo Beaty,1962,1975,12,1,C,STL,889,17.1,15207,10.9,9665,1.5,1365,0.7,107,0.8,172,49.4,15.4,77.1,49.4,18.7,8.8,106.0,1,2016,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Walt Bellamy,1961,1975,14,1,C,ATL,1043,20.1,20941,13.7,14241,2.4,2544,0.7,52,0.6,48,51.6,0.0,63.2,0.0,19.9,9.3,130.0,1,1993,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dave Bing,1966,1978,12,1,PG,DET,901,20.3,18327,3.8,3420,6.0,5397,1.3,483,0.2,89,44.1,0.0,77.5,0.0,17.6,5.7,68.8,1,1990,7,1,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1
