Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Kareem Abdul-Jabbar,1969,1989,20,C,LAL,0.9999999871420785,1,1
Rick Adelman,1968,1975,7,PG,POR,0.0029041383294614166,0,0
Ray Allen,1996,2014,18,SG,MIL,0.9952223506391283,1,1
Tiny Archibald,1970,1984,13,PG,SAC,0.9895769668768061,0,1
Paul Arizin,1950,1962,10,SF,GSW,0.9999461700762247,0,1
Al Attles,1960,1971,11,PG,GSW,0.007253300358486835,0,0
Charles Barkley,1984,2000,16,PF,PHI,0.9999929615488008,1,1
Don Barksdale,1951,1955,4,PF,BLB,0.011910608424160665,0,0
Rick Barry,1965,1980,14,SF,GSW,0.9999466426602217,0,1
Elgin Baylor,1958,1972,14,SF,LAL,0.9999596310084244,1,1
Zelmo Beaty,1962,1975,12,C,ATL,0.7271767705212093,0,1
Walt Bellamy,1961,1975,14,C,ATL,0.5080349219435227,0,1
Dave Bing,1966,1978,12,PG,DET,0.981952336711682,0,1
Larry Bird,1979,1992,13,SF,BOS,0.9999977995698186,1,1
Chris Bosh,2003,2016,13,C,TOR,0.990284374715265,0,1
Bill Bradley,1967,1977,10,SF,NYK,0.020510890912855323,0,1
Carl Braun,1947,1962,13,PG,NYK,0.42768470945378045,0,1
Kobe Bryant,1996,2016,20,SG,LAL,0.9999998808015622,1,1
Al Cervi,1949,1953,4,PG,PHI,0.11925278384747341,0,1
Wilt Chamberlain,1959,1973,14,C,GSW,0.9999999230182134,1,1
Maurice Cheeks,1978,1993,15,PG,PHI,0.23844326056830065,0,1
Nat Clifton,1950,1958,8,PF,NYK,0.006921334103481678,0,0
Chuck Cooper,1950,1956,6,SF,BOS,0.0043613764232414,0,1
Larry Costello,1954,1968,12,PG,PHI,0.5484925400878771,0,0
Bob Cousy,1950,1970,14,PG,BOS,0.99999402352167,1,1
Dave Cowens,1970,1983,11,C,BOS,0.9975172802740672,0,1
Billy Cunningham,1965,1976,11,SF,PHI,0.9846742505382757,0,1
Bob Dandridge,1969,1982,13,SF,MIL,0.3177722703221835,0,1
Adrian Dantley,1976,1991,15,SF,UTA,0.8516785674244242,0,1
Bob Davies,1948,1955,7,PG,SAC,0.9484729427247582,0,1
Dave DeBusschere,1962,1974,12,PF,DET,0.9670237861054789,0,1
Vlade Divac,1989,2005,16,C,LAL,0.02424903427957524,0,1
Clyde Drexler,1983,1998,15,SG,POR,0.9995944440103224,1,1
Joe Dumars,1985,1999,14,SG,DET,0.7850135722068984,0,1
Tim Duncan,1997,2016,19,C,SAS,0.9999997498966665,1,1
Wayne Embry,1958,1969,11,C,SAC,0.13603183957946655,0,0
Alex English,1976,1991,15,SF,DEN,0.9207686276977792,1,1
Julius Erving,1971,1987,16,SF,PHI,0.9999980443095988,1,1
Patrick Ewing,1985,2002,17,C,NYK,0.9997066366512006,1,1
Walt Frazier,1967,1980,13,PG,NYK,0.9989205572532799,0,1
Joe Fulks,1946,1954,8,PF,GSW,0.1981835904869764,0,1
Harry Gallatin,1948,1958,10,PF,NYK,0.9584577057533605,0,1
Kevin Garnett,1995,2016,21,PF,MIN,0.9999865818614682,1,1
George Gervin,1972,1986,14,SG,SAS,0.9999477969875644,0,1
Artis Gilmore,1971,1988,17,C,CHI,0.987383472924745,0,1
Manu Ginóbili,2002,2018,16,SG,SAS,0.1459557149328949,1,1
Tom Gola,1955,1966,10,SG,GSW,0.4815649289855796,0,1
Gail Goodrich,1965,1979,14,SG,LAL,0.3426663917685774,0,1
Hal Greer,1958,1973,15,SG,PHI,0.9995611437262921,0,1
Richie Guerin,1956,1970,13,SG,NYK,0.7208995835965815,0,1
Cliff Hagan,1956,1970,13,SF,ATL,0.7641342368589987,0,1
Alex Hannum,1949,1957,8,PF,SAC,0.0032194383021393654,0,0
Tim Hardaway,1989,2003,13,PG,GSW,0.8694177393225498,0,1
John Havlicek,1962,1978,16,SF,BOS,0.9999928205663237,1,1
Connie Hawkins,1967,1976,9,SF,PHO,0.8860903732051638,0,1
Elvin Hayes,1968,1984,16,PF,WAS,0.9997955799050009,1,1
Spencer Haywood,1969,1983,13,PF,OKC,0.7474480609602407,0,1
Tom Heinsohn,1956,1965,9,PF,BOS,0.9492776920033873,0,1
Grant Hill,1994,2013,18,SF,DET,0.8669221953718438,1,1
Red Holzman,1948,1954,6,PG,SAC,0.0014019943259538123,0,0
Bob Houbregs,1953,1958,5,C,DET,0.013032530296538605,0,1
Bailey Howell,1959,1971,12,PF,DET,0.925276116732024,0,1
Lou Hudson,1966,1979,13,SG,ATL,0.6102535011685528,0,1
Dan Issel,1970,1985,15,C,DEN,0.8963626052145663,0,1
Allen Iverson,1996,2010,14,SG,PHI,0.9998269387256458,1,1
Phil Jackson,1967,1980,12,PF,NYK,0.004044503986290522,0,0
Dennis Johnson,1976,1990,14,PG,BOS,0.5114646028432973,0,1
Gus Johnson,1963,1973,10,PF,WAS,0.5696628744942417,0,1
Magic Johnson,1979,1996,13,PG,LAL,0.9999986859508297,1,1
Neil Johnston,1951,1959,8,C,GSW,0.9988946985055135,0,1
Bobby Jones,1974,1986,12,PF,PHI,0.6261627836189574,0,1
K.C. Jones,1958,1967,9,PG,BOS,0.017023059693706818,0,1
Sam Jones,1957,1969,12,SG,BOS,0.9803547775270337,0,1
Michael Jordan,1984,2003,15,SG,CHI,0.9999998135289913,1,1
Jason Kidd,1994,2013,19,PG,DAL,0.9988116936871843,1,1
Bernard King,1977,1993,14,SF,NYK,0.5023417435443672,0,1
