Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Alaa Abdelnaby,1990,1995,5,PF,POR,0.0024227293702516243,0,0
Zaid Abdul-Aziz,1968,1978,10,C,HOU,0.003223482843857083,0,0
Kareem Abdul-Jabbar,1969,1989,20,C,LAL,0.9999999871420785,1,1
Mahmoud Abdul-Rauf,1990,2001,9,PG,DEN,0.006061944184856781,0,0
Tariq Abdul-Wahad,1997,2003,6,SG,DEN,0.0017145307121873247,0,0
Shareef Abdur-Rahim,1996,2008,12,PF,MEM,0.04297567912929998,0,0
Tom Abernethy,1976,1981,5,SF,GSW,0.008714115035647792,0,0
Forest Able,1956,1957,1,,PHI,0.0012119769623616325,0,0
Álex Abrines,2016,2019,3,SG,OKC,0.004572372912853961,0,0
Precious Achiuwa,2020,2022,2,PF,MIA,0.005518268850004803,0,0
Alex Acker,2005,2009,2,SG,DET,0.0010821192141699377,0,0
Don Ackerman,1953,1954,1,PG,NYK,0.0007060425266987005,0,0
Mark Acres,1987,1993,6,C,ORL,0.0037162557193839516,0,0
Bud Acton,1967,1968,1,SF,HOU,0.0012767582062101698,0,0
Quincy Acy,2012,2019,7,PF,TOR,0.0026063712665102016,0,0
Alvan Adams,1975,1988,13,C,PHO,0.03520809945242006,0,0
Don Adams,1970,1977,7,SF,DET,0.0035205664839428885,0,0
Hassan Adams,2006,2009,2,SG,BRK,0.001653024533020504,0,0
Jaylen Adams,2018,2021,2,PG,ATL,0.0011770938892047146,0,0
Jordan Adams,2014,2016,2,SG,MEM,0.0013868321552489926,0,0
Michael Adams,1985,1996,11,PG,WAS,0.022743339449026075,0,0
Steven Adams,2013,2022,9,C,OKC,0.05271740322047832,0,0
Rafael Addison,1986,1997,6,SF,BRK,0.002011927790399788,0,0
Bam Adebayo,2017,2022,5,C,MIA,0.2928668548155998,0,0
Deng Adel,2018,2019,1,SF,CLE,0.000999395086825845,0,0
Rick Adelman,1968,1975,7,PG,POR,0.0029041383294614166,0,0
Jeff Adrien,2010,2015,5,PF,CHO,0.002273924825144792,0,0
Arron Afflalo,2007,2018,11,SG,DEN,0.005902283614609034,0,0
Maurice Ager,2006,2011,4,SG,DAL,0.001014896542298343,0,0
Mark Aguirre,1981,1994,13,SF,DAL,0.08234658943651743,0,0
Blake Ahearn,2007,2012,3,PG,MIA,0.0010607497690793017,0,0
Danny Ainge,1981,1995,14,SG,BOS,0.023462925328018355,0,0
Alexis Ajinça,2008,2017,7,C,NOP,0.002456431013374798,0,0
Henry Akin,1966,1969,3,PF,NYK,0.0008408785655135517,0,0
Josh Akognon,2012,2013,1,PG,DAL,0.0011904874720787147,0,0
DeVaughn Akoon-Purcell,2018,2019,1,SG,DEN,0.0011992467751233262,0,0
Solomon Alabi,2010,2012,2,C,TOR,0.001192304099336285,0,0
Mark Alarie,1986,1991,5,PF,WAS,0.004006175481359105,0,0
Gary Alcorn,1959,1961,2,C,DET,0.0006438811131491589,0,0
Santi Aldama,2021,2022,1,PF,MEM,0.0015151626508444864,0,0
Furkan Aldemir,2014,2015,1,PF,PHI,0.004007330240934601,0,0
Cole Aldrich,2010,2018,8,C,OKC,0.0025934923514062697,0,0
LaMarcus Aldridge,2006,2022,16,PF,POR,0.9430750605153183,1,0
Chuck Aleksinas,1984,1985,1,C,GSW,0.0016238166158256807,0,0
Cliff Alexander,2015,2016,1,PF,POR,0.001195440199070646,0,0
Cory Alexander,1995,2005,7,PG,SAS,0.0014919956483503728,0,0
Courtney Alexander,2000,2003,3,PG,WAS,0.0034337595662784484,0,0
Gary Alexander,1993,1994,1,PF,MIA,0.0011903060311298599,0,0
Joe Alexander,2008,2010,2,SF,MIL,0.001366674989462047,0,0
Kyle Alexander,2019,2020,1,C,MIA,0.001199273666841556,0,0
Ty-Shon Alexander,2020,2021,1,SG,PHO,0.0012042366811265014,0,0
Victor Alexander,1991,2002,5,C,GSW,0.004259744089857359,0,0
Nickeil Alexander-Walker,2019,2022,3,SG,NOP,0.0012841605503135626,0,0
Steve Alford,1987,1991,4,PG,DAL,0.0021642419598745526,0,0
Rawle Alkins,2018,2019,1,SG,CHI,0.0010678731503201222,0,0
Bob Allen,1968,1969,1,PF,GSW,0.0012970689393489903,0,0
Grayson Allen,2018,2022,4,SG,MEM,0.005223734802511504,0,0
Jarrett Allen,2017,2022,5,C,BRK,0.2822172991484912,0,0
Jerome Allen,1995,1997,2,SG,MIN,0.0012767125516699208,0,0
Kadeem Allen,2017,2020,3,PG,NYK,0.0014549574126159791,0,0
Lavoy Allen,2011,2017,6,PF,IND,0.006026800353935255,0,0
Lucius Allen,1969,1979,10,PG,MIL,0.013139023377392556,0,0
Malik Allen,2001,2011,10,PF,MIA,0.0017582421931011695,0,0
Randy Allen,1988,1990,2,SG,SAC,0.0012674343176263428,0,0
Ray Allen,1996,2014,18,SG,MIL,0.9952223506391283,1,1
Tony Allen,2004,2018,14,SG,MEM,0.00436272858882467,0,0
Odis Allison,1971,1972,1,SF,GSW,0.0007028601201735765,0,0
Lance Allred,2007,2008,1,C,CLE,0.0011992894035701483,0,0
Darrell Allums,1980,1981,1,PF,DAL,0.0009057842133676039,0,0
Morris Almond,2007,2012,3,SG,UTA,0.0011722823286272998,0,0
Derrick Alston,1994,1997,3,C,PHI,0.0023772748032002576,0,0
Rafer Alston,1999,2010,11,PG,HOU,0.0060871883183997635,0,0
Peter Aluma,1998,1999,1,C,SAC,0.0011992832646205264,0,0
Jose Alvarado,2021,2022,1,PG,NOP,0.007087709670418759,0,0
John Amaechi,1995,2003,5,C,ORL,0.0012109538045796352,0,0
Ashraf Amaya,1995,1997,2,PF,MEM,0.002454734740312502,0,0
Al-Farouq Aminu,2010,2021,11,PF,POR,0.004579070643334201,0,0
Lou Amundson,2006,2016,10,PF,PHI,0.0017664758145200764,0,0
Bob Anderegg,1959,1960,1,SF,NYK,0.001160979709260538,0,0
Chris Andersen,2001,2017,15,C,DEN,0.003655039413161311,0,0
David Andersen,2009,2011,2,PF,HOU,0.002259982213273618,0,0
Alan Anderson,2005,2017,8,SF,CHO,0.0020162818754690063,0,0
