Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team,HOF Probability,HOF Lock
Alaa Abdelnaby,1990,1995,5,1,PF,POR,256,5.7,1465,3.3,846,0.3,85,0.3,71,0.3,69,50.2,0.0,70.1,50.2,13.0,1.0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002419853607033107,0
Zaid Abdul-Aziz,1968,1978,10,1,C,HOU,505,9.0,4557,8.0,4065,1.2,601,0.6,131,1.0,205,42.8,0.0,72.8,0.0,15.1,1.8,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003220376405156551,0
Kareem Abdul-Jabbar,1969,1989,20,1,C,LAL,1560,24.6,38387,11.2,17440,3.6,5660,0.9,1160,2.6,3189,55.9,5.6,72.1,55.9,24.6,13.7,273.4,1,1,0,0,1995,19,2,1,0,0,4,6,15,1,1,11,0,0,0,0,6,2,1,0.9999999871777855,1
Mahmoud Abdul-Rauf,1990,2001,9,1,PG,DEN,586,14.6,8553,1.9,1087,3.5,2079,0.8,487,0.1,46,44.2,35.4,90.5,47.2,15.4,2.8,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.006058246133777724,0
Tariq Abdul-Wahad,1997,2003,6,1,SG,DEN,236,7.8,1830,3.3,776,1.1,266,0.8,184,0.4,83,41.7,23.7,70.3,42.2,11.4,0.6,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001712067762182929,0
Shareef Abdur-Rahim,1996,2008,12,1,PF,MEM,830,18.1,15028,7.5,6239,2.5,2109,1.0,820,0.8,638,47.2,29.7,81.0,47.9,19.0,5.9,71.2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.042977924441549784,0
Tom Abernethy,1976,1981,5,1,SF,GSW,319,5.6,1779,3.2,1011,1.2,384,0.6,185,0.2,60,49.2,0.0,74.7,49.2,12.9,2.7,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870946706019619,0
Álex Abrines,2016,2019,3,0,SG,OKC,174,5.3,924,1.4,248,0.5,88,0.5,92,0.1,22,38.7,36.8,88.0,52.5,8.8,1.7,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00456838941578627,0
Precious Achiuwa,2020,2022,2,0,PF,MIA,133,7.2,959,5.1,675,0.8,109,0.4,56,0.5,68,47.1,36.2,55.6,50.4,13.2,1.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055137376351319135,0
Alex Acker,2005,2009,2,1,SG,DET,30,2.7,81,1.0,29,0.5,16,0.2,6,0.1,4,37.0,32.0,50.0,41.3,8.5,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010803774134174795,0
Don Ackerman,1953,1954,1,1,PG,NYK,28,1.5,43,0.5,15,0.8,23,0.0,0,0.0,0,22.2,0.0,53.6,0.0,1.0,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007047721322001874,0
Mark Acres,1987,1993,6,1,C,ORL,375,3.6,1343,4.1,1525,0.5,180,0.4,137,0.3,104,50.6,53.8,66.5,50.9,9.0,1.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003712899856206552,0
Bud Acton,1967,1968,1,1,SF,HOU,23,3.3,77,2.0,47,0.5,11,0.0,0,0.0,0,39.2,0.0,65.5,0.0,9.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001274781849813772,0
Quincy Acy,2012,2019,7,0,PF,TOR,337,4.9,1642,3.5,1179,0.6,217,0.4,140,0.4,135,44.4,35.0,75.9,51.3,11.2,1.2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026033869460631754,0
Alvan Adams,1975,1988,13,1,C,PHO,988,14.1,13910,7.0,6937,4.1,4012,1.3,1289,0.8,808,49.8,13.3,78.8,49.8,18.3,5.7,73.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03520731903207809,0
Don Adams,1970,1977,7,1,SF,DET,523,8.8,4598,5.6,2916,1.9,1011,1.1,334,0.2,64,40.2,0.0,74.1,40.2,10.7,1.7,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003517698557932967,0
Hassan Adams,2006,2009,2,1,SG,BRK,73,2.5,185,1.2,84,0.2,14,0.2,18,0.1,5,53.4,0.0,64.3,53.4,11.8,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016507926953872917,0
