Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,First Ballot,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Alaa Abdelnaby,1990,1995,5,1,PF,POR,256,5.7,1465,3.3,846,0.3,85,0.3,71,0.3,69,50.2,0.0,70.1,50.2,13.0,1.0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaid Abdul-Aziz,1968,1978,10,1,C,HOU,505,9.0,4557,8.0,4065,1.2,601,0.6,131,1.0,205,42.8,0.0,72.8,0.0,15.1,1.8,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahmoud Abdul-Rauf,1990,2001,9,1,PG,DEN,586,14.6,8553,1.9,1087,3.5,2079,0.8,487,0.1,46,44.2,35.4,90.5,47.2,15.4,2.8,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Tariq Abdul-Wahad,1997,2003,6,1,SG,DEN,236,7.8,1830,3.3,776,1.1,266,0.8,184,0.4,83,41.7,23.7,70.3,42.2,11.4,0.6,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareef Abdur-Rahim,1996,2008,12,1,PF,MEM,830,18.1,15028,7.5,6239,2.5,2109,1.0,820,0.8,638,47.2,29.7,81.0,47.9,19.0,5.9,71.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tom Abernethy,1976,1981,5,1,SF,GSW,319,5.6,1779,3.2,1011,1.2,384,0.6,185,0.2,60,49.2,0.0,74.7,49.2,12.9,2.7,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest Able,1956,1957,1,1,NA,PHI,1,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,-41.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Acker,2005,2009,2,1,SG,DET,30,2.7,81,1.0,29,0.5,16,0.2,6,0.1,4,37.0,32.0,50.0,41.3,8.5,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Ackerman,1953,1954,1,1,PG,NYK,28,1.5,43,0.5,15,0.8,23,0.0,0,0.0,0,22.2,0.0,53.6,0.0,1.0,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Acres,1987,1993,6,1,C,ORL,375,3.6,1343,4.1,1525,0.5,180,0.4,137,0.3,104,50.6,53.8,66.5,50.9,9.0,1.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
